iter	Passed	Remaining
360	1338	4222
361	1342	4218
362	1345	4214
363	1349	4210
364	1352	4204
365	1356	4201
366	1359	4196
367	1363	4193
368	1366	4188
369	1369	4183
370	1373	4178
371	1376	4174
372	1380	4170
373	1383	4165
374	1387	4161
375	1390	4156
376	1393	4151
377	1397	4147
378	1400	4142
379	1404	4140
380	1408	4136
381	1411	4132
382	1415	4128
383	1419	4124
384	1423	4122
385	1427	4118
386	1430	4115
387	1434	4111
388	1438	4107
389	1441	4102
390	1444	4097
391	1448	4093
392	1451	4089
393	1455	4084
394	1458	4080
395	1462	4076
396	1465	4072
397	1469	4069
398	1473	4065
399	1477	4061
400	1480	4057
401	1484	4053
402	1487	4048
403	1491	4045
404	1494	4040
405	1498	4036
406	1501	4032
407	1504	4027
408	1508	4023
409	1511	4019
410	1515	4015
411	1519	4012
412	1523	4009
413	1527	4005
414	1531	4002
415	1534	3998
416	1537	3994
417	1541	3989
418	1545	3986
419	1548	3981
420	1552	3978
421	1555	3974
422	1559	3970
423	1562	3965
424	1566	3961
425	1569	3957
426	1573	3953
427	1576	3949
428	1580	3944
429	1583	3940
430	1586	3935
